Date,Open,High,Low,Close,Adj Close,Volume
2005-09-26,1745.144653,1824.922729,1745.144653,1814.950439,1103.993774,5505274
2005-10-03,1795.005859,1824.922729,1765.089111,1775.061401,1079.730347,3549846
2005-10-10,1755.116943,1785.033691,1755.116943,1770.075317,1076.697266,1574366
2005-10-17,1770.075317,1824.922729,1770.075317,1824.922729,1110.059814,1689686
2005-10-24,1824.922729,1874.783936,1804.978149,1854.839478,1128.257568,1975480
2005-10-31,1864.811646,1894.728516,1854.839478,1884.756226,1146.455078,1990521
2005-11-07,1884.756226,1884.756226,1854.839478,1864.811646,1134.323730,2030633
2005-11-14,1854.839478,1974.506470,1844.867188,1959.548096,1191.949463,17323060
2005-11-21,1959.548096,1964.534302,1795.005859,1864.811646,1134.323730,1077989
2005-11-28,1864.811646,1874.783936,1720.213989,1790.019775,1088.829224,7004432
2005-12-05,1785.033691,1844.867188,1775.061401,1795.005859,1091.862061,8353174
2005-12-12,1795.005859,1804.978149,1775.061401,1780.047485,1082.763306,6046775
2005-12-19,1775.061401,1785.033691,1750.130737,1780.047485,1082.763306,2276313
2005-12-26,1780.047485,1795.005859,1760.103027,1775.061401,1079.730347,350972
2006-01-02,1785.033691,1824.922729,1765.089111,1785.033691,1085.796143,11933107
2006-01-09,1785.033691,2029.353882,1785.033691,1974.506470,1201.048340,46122966
2006-01-16,1974.506470,1979.492676,1844.867188,1919.659058,1167.685913,19559264
2006-01-23,1904.700684,1964.534302,1849.853271,1944.589722,1182.850586,8087436
2006-01-30,1944.589722,1989.464844,1944.589722,1949.575806,1185.883545,5264604
2006-02-06,1974.506470,2104.145752,1964.534302,2074.229004,1261.707275,16791585
2006-02-13,2069.242920,2223.812988,2034.340088,2223.812988,1352.695923,16475710
2006-02-20,2303.590820,2393.341309,2233.785156,2373.396729,1443.684326,8749273
2006-02-27,2343.479980,2403.313477,2228.799072,2393.341309,1455.816162,3148734
2006-03-06,2263.701904,2448.188721,2263.701904,2383.368896,1449.750122,5354854
2006-03-13,2388.354980,2493.063721,2303.590820,2443.202393,1486.145630,3725333
2006-03-20,2423.258057,2542.925049,2423.258057,2493.063721,1516.474976,5018924
2006-03-27,2503.036133,2587.800293,2463.146973,2542.925049,1546.804688,1669631
2006-04-03,2423.258057,2542.925049,2283.646484,2473.119141,1504.343262,7340363
2006-04-10,2473.119141,2542.925049,2348.466064,2483.091553,1510.409546,1283559
2006-04-17,2493.063721,2642.647705,2493.063721,2592.786377,1577.134277,7606100
2006-04-24,2592.786377,2782.259277,2572.841797,2732.397949,1662.057129,7370447
2006-05-01,2742.370117,2802.203613,2433.230225,2443.202393,1486.145630,7545935
2006-05-08,2702.481201,2996.662598,2453.174805,2981.704346,1813.704346,22442264
2006-05-15,2842.092773,2931.843018,2443.202393,2592.786377,1577.134277,9431165
2006-05-22,2293.618652,2493.063721,2144.034912,2223.812988,1352.695923,11872940
2006-05-29,2223.812988,2343.479980,2114.118164,2213.840576,1346.630005,9892445
2006-06-05,2228.799072,2248.743408,1994.451050,2064.256836,1255.641602,12459566
2006-06-12,2074.229004,2193.895996,2044.312256,2173.951660,1322.366333,13773211
2006-06-19,2213.840576,2293.618652,2144.034912,2253.729736,1370.893921,4943714
2006-06-26,2253.729736,2378.382813,2193.895996,2373.396729,1443.684326,4111404
2006-07-03,2343.479980,2373.396729,2218.826660,2313.563232,1407.289185,6533124
2006-07-10,2308.577148,2488.077637,2303.590820,2413.285645,1467.948120,6182150
2006-07-17,2413.285645,2493.063721,2343.479980,2483.091553,1510.409546,1449019
2006-07-24,2473.119141,2542.925049,2453.174805,2537.938965,1543.771606,1895257
2006-07-31,2537.938965,2692.508789,2473.119141,2542.925049,1574.830322,10198292
2006-08-07,2592.786377,2607.744629,2513.008301,2513.008301,1556.302979,1920325
2006-08-14,2513.008301,2552.897217,2503.036133,2552.897217,1581.005859,3870737
2006-08-21,2552.897217,2552.897217,2503.036133,2513.008301,1556.302979,2672413
2006-08-28,2513.008301,2582.813965,2503.036133,2577.827881,1596.445313,2963219
2006-09-04,2557.883545,2592.786377,2542.925049,2552.897217,1581.005859,2466842
2006-09-11,2513.008301,2662.592041,2513.008301,2642.647705,1636.588501,8974898
2006-09-18,2642.647705,2792.231445,2592.786377,2772.286865,1716.873657,14279617
2006-09-25,2772.286865,2782.259277,2702.481201,2702.481201,1673.643188,2677425
2006-10-02,2692.508789,2782.259277,2662.592041,2762.314697,1710.697998,11988257
2006-10-09,2737.384033,2782.259277,2697.494873,2777.272949,1719.961670,8323091
2006-10-16,2862.037109,3021.593262,2792.231445,2911.898438,1803.334961,27275674
2006-10-23,2911.898438,2911.898438,2911.898438,2911.898438,1803.334961,0
2006-10-30,2901.926270,2981.704346,2852.064941,2956.773682,1831.126221,2276313
2006-11-06,2921.870850,2976.718018,2857.051025,2966.745850,1837.302002,5695801
2006-11-13,2981.704346,3186.135498,2966.745850,3171.177002,1963.906372,13602739
2006-11-20,3186.135498,3480.316895,3146.246582,3380.594482,2093.597656,6994404
2006-11-27,3330.733154,3390.566650,3156.218750,3250.955078,2013.312012,6071843
2006-12-04,3191.121582,3490.289307,3171.177002,3485.303223,2158.444092,15222232
2006-12-11,3480.316895,3590.011719,3430.455811,3590.011719,2223.289551,6317526
2006-12-18,3729.623291,3789.457031,3590.011719,3789.457031,2346.805664,10975449
2006-12-25,3789.457031,3839.318115,3619.928467,3619.928467,2241.817383,686905
2007-01-01,3619.928467,3904.137939,3619.928467,3859.262695,2390.036865,4231739
2007-01-08,3789.457031,3859.262695,3490.289307,3490.289307,2161.532227,6412790
2007-01-15,3590.011719,3699.706543,3530.178223,3689.734375,2285.048096,6638416
2007-01-22,3689.734375,3889.179443,3689.734375,3789.457031,2346.805664,1554311
2007-01-29,3739.595703,3819.373779,3689.734375,3689.734375,2285.048096,2857927
2007-02-05,3789.457031,3789.457031,3570.067383,3575.053467,2214.025879,3765445
2007-02-12,3530.178223,4003.860352,3525.192139,3968.957520,2457.970703,12584914
2007-02-19,3973.943604,4118.541504,3889.179443,4068.680176,2519.729004,4347058
2007-02-26,4073.666260,4098.596680,3769.512451,3949.012939,2445.618896,11426701
2007-03-05,3829.345947,3978.929688,3789.457031,3939.040771,2439.442871,12830596
2007-03-12,4138.485840,4228.236328,3939.040771,3988.902100,2470.322510,13753155
2007-03-19,3988.902100,4178.375000,3973.943604,4088.624512,2532.079346,5119202
2007-03-26,4088.624512,4088.624512,3963.971436,3968.957520,2457.970703,11622244
2007-04-02,3973.943604,3988.902100,3819.373779,3829.345947,2371.509277,9837291
2007-04-09,3973.943604,4038.763184,3829.345947,3929.068604,2433.267334,9726985
2007-04-16,3988.902100,3998.874268,3849.290527,3849.290527,2383.860840,20211074
2007-04-23,3849.290527,3869.234863,3789.457031,3809.401367,2359.157715,38120763
2007-04-30,3829.345947,3889.179443,3819.373779,3864.248779,2393.124023,15257328
2007-05-07,3879.207275,3909.124023,3839.318115,3884.193359,2405.476074,9842304
2007-05-14,3944.026855,4238.208496,3894.165527,4153.444336,2572.222656,15924181
2007-05-21,4138.485840,4587.237305,4118.541504,4288.069824,2655.596191,19679597
2007-05-28,4397.764648,4407.736816,4293.055664,4382.806152,2714.266113,4582712
2007-06-04,4587.237305,4936.266113,4188.347168,4228.236328,2618.541504,26689047
2007-06-11,4337.931152,4487.514648,4228.236328,4437.653320,2748.233154,21459537
2007-06-18,4372.833984,4706.904297,4337.931152,4587.237305,2840.870361,18275703
2007-06-25,4637.098633,5295.267578,4587.237305,5145.683594,3186.715576,36029962
2007-07-02,5130.725098,5145.683594,4886.404785,5115.767090,3168.187988,7821699
2007-07-09,5115.767090,5454.823730,4986.127441,5265.350586,3260.824951,19458986
2007-07-16,5290.281250,5434.878906,5260.364746,5335.156250,3304.055908,8994954
2007-07-23,5335.156250,5335.156250,5335.156250,5335.156250,3372.642090,0
2007-07-30,5335.156250,5335.156250,5035.988770,5255.378418,3322.210693,12123635
2007-08-06,5444.851074,5469.781738,4587.237305,4936.266113,3120.482422,19218318
2007-08-13,4961.196777,4961.196777,4163.416504,4288.069824,2710.722412,21060932
2007-08-20,4686.959961,5035.988770,4487.514648,4861.474121,3073.202637,15685015
2007-08-27,4936.266113,4961.196777,4686.959961,4936.266113,3120.482422,5840702
2007-09-03,4986.127441,5135.711426,4886.404785,5085.850098,3215.043457,9663809
2007-09-10,4986.127441,5335.156250,4936.266113,5285.295410,3341.123291,9401081
2007-09-17,5235.434082,5584.462891,5135.711426,5484.740234,3467.202881,12040404
