Type,ACES,ASII,ICBP,MDKA,SMGR,ADRO,BBCA,INCO,MEDC,TLKM,AKRA,BBNI,INDF,PGAS,UNTR,AMRT,BBRI,INKP,PGEO,UNVR,ANTM,BMRI,ITMG,ARTO,BRPT,KLBF,PTBA
2020-12-20,1850,6200,9700.0,2185.0,12515,1480,6800,5299,665,3510,674,3325,6825,1790,26625,730,4176,10400,,7600,1950,3350,14875,3234.0,1243,1540,2980
2020-12-13,1705,5675,9825.0,1888.0,11443,1535,6735,5151,630,3280,664,3288,6925,1655,26150,730,4176,10700,,7475,1450,3388,14675,2745.0,1223,1465,2810
2020-12-06,1625,5700,9950.0,1951.0,11643,1435,6390,4900,560,3250,622,3175,7025,1450,26500,715,4195,9525,,7600,1245,3300,14950,3359.0,1114,1475,2480
2020-11-29,1660,5550,10600.0,1917.0,11892,1390,6385,4614,510,3460,580,3175,7300,1490,24725,715,4166,9325,,7750,1230,3325,11850,2447.0,1109,1480,2410
2020-11-22,1635,5725,10100.0,1819.0,11319,1215,6600,4496,426,3220,590,2838,7225,1405,21300,705,3922,8900,,7725,1210,3150,10150,2405.0,949,1495,2190
2020-11-15,1755,5900,9700.0,1771.0,11169,1165,6390,4318,402,2990,564,2825,7100,1180,21125,725,3902,9400,,7750,1170,3125,8475,2405.0,930,1495,2040
2020-11-08,1625,5825,9875.0,1888.0,10321,1140,6300,4210,374,2830,544,2480,7175,1100,20975,715,3473,9700,,8075,1125,3025,8550,2422.0,930,1515,1990
2020-11-01,1565,5425,9650.0,1785.0,9548,1125,5790,3993,382,2620,536,2370,7000,1075,21125,680,3278,9125,,7825,1055,2888,8125,2364.0,895,1525,1960
2020-10-25,1585,5400,9725.0,1815.0,9399,1145,5770,4150,386,2630,526,2425,7075,1065,21925,675,3210,9125,,7925,1085,2775,8075,2239.0,920,1585,1960
2020-10-18,1580,4930,9750.0,1756.0,9150,1220,5760,3904,380,2750,536,2405,7075,1030,21875,665,3171,8575,,8000,940,2788,8300,2247.0,905,1550,2050
2020-10-11,1550,4740,10050.0,1727.0,9349,1115,5775,3638,354,2730,524,2320,7225,980,22400,675,3073,8850,,8050,765,2775,8100,2322.0,845,1570,1985
2020-10-04,1575,4590,10075.0,1649.0,9424,1140,5505,3559,338,2680,514,2255,7075,920,22675,675,3024,8875,,8000,725,2600,8125,2347.0,840,1570,1970
2020-09-27,1570,4860,10050.0,1517.0,8776,1140,5610,3569,372,2690,522,2300,7125,995,23200,675,3083,9100,,7925,730,2675,8175,2380.0,671,1580,1990
2020-09-20,1600,4780,10175.0,1561.0,9299,1145,5630,3855,430,2890,548,2370,7525,1040,23800,680,3141,9125,,8025,790,2788,8325,2372.0,731,1545,2000
2020-09-13,1555,4630,10250.0,1590.0,9374,1180,5905,3766,418,2810,550,2435,7575,1105,22925,695,3171,8475,,8300,775,2738,8250,2223.0,726,1575,1970
2020-09-06,1600,5050,10300.0,1688.0,10321,1205,6380,3855,466,2860,570,2613,7600,1290,23100,705,3463,8600,,8400,825,2963,8500,2306.0,775,1590,2100
2020-08-30,1605,5325,10325.0,1693.0,10620,1145,6495,3727,474,2960,574,2625,7625,1325,23425,720,3600,9500,,8250,820,3113,8600,2115.0,885,1610,2130
2020-08-23,1615,5300,10100.0,1780.0,9523,1115,6330,3687,436,3000,566,2525,7200,1305,23475,720,3473,9500,,8200,795,3050,8200,2198.0,920,1605,2110
2020-08-16,1600,5375,10175.0,1766.0,9474,1115,6405,3608,436,3030,562,2500,7325,1230,23075,725,3259,9700,,8200,785,3013,8125,2173.0,910,1625,2060
2020-08-09,1660,5275,10175.0,2000.0,9648,1095,6180,3598,401,2980,554,2310,6875,1210,24700,735,3034,8575,,8125,840,2900,7850,2272.0,880,1580,2050
2020-08-02,1750,5150,9200.0,1746.0,9199,1085,6240,3372,393,3050,576,2300,6450,1265,21350,740,3083,7800,,8400,730,2900,7900,2322.0,945,1565,2030
2020-07-26,1640,5050,9175.0,1673.0,9249,1090,6100,3234,394,3020,528,2305,6475,1220,19450,745,3015,7675,,8050,685,2800,7675,2306.0,1168,1570,2070
2020-07-19,1635,5200,9275.0,1449.0,9324,1155,6120,3155,403,3060,496,2335,6550,1160,18450,745,3024,8175,,8125,660,2588,7850,2314.0,1248,1465,2140
2020-07-12,1555,4830,9225.0,1449.0,9399,1085,6200,3046,389,3110,484,2335,6500,1135,17925,780,3034,7775,,7925,645,2588,7450,2455.0,1213,1470,2070
2020-07-05,1490,4850,9425.0,1327.0,9748,1040,5870,2879,391,3120,498,2280,6675,1110,17150,790,2976,6400,,7900,600,2500,7325,2405.0,1173,1495,2050
2020-06-28,1505,4900,9225.0,1322.0,9474,1015,5645,2770,381,3190,506,2290,6675,1135,16475,785,2956,5500,,7900,605,2500,7250,1115.0,1143,1445,2060
2020-06-21,1500,4890,8925.0,1249.0,9474,1040,5575,2849,398,3280,518,2240,6575,1080,17850,790,3024,5800,,8050,610,2440,7225,1120.0,1153,1460,2280
2020-06-14,1470,4790,8600.0,1268.0,9374,1060,5670,2790,398,3030,482,2235,6100,1045,16450,835,2956,5425,,8200,580,2445,7825,1078.0,1188,1380,2390
2020-06-07,1505,5000,8625.0,1307.0,9399,1100,5725,2987,406,3230,490,2125,6150,1030,17100,880,3034,5925,,8050,590,2425,8925,829.0,1307,1410,2210
2020-05-31,1555,4770,8150.0,1268.0,9773,1100,5190,2741,372,3150,470,1915,5750,860,15700,910,2878,5250,,7750,535,2235,8100,726.0,1342,1415,1945
2020-05-24,1305,3970,9600.0,1317.0,8501,980,4765,2918,389,3180,442,1800,6425,830,14600,910,2419,4890,,8050,520,2035,7675,742.0,1218,1340,1920
2020-05-17,1310,3710,9700.0,1283.0,8501,925,4785,2849,398,3100,448,1670,6575,790,14250,900,2185,5100,,8575,520,1880,7400,734.0,1218,1400,1815
2020-05-10,1360,3740,9625.0,1190.0,7429,1025,5245,3046,415,3190,496,1900,6625,860,15825,850,2527,5100,,8050,535,2100,7875,722.0,1203,1400,2060
2020-05-03,1520,3850,9875.0,1200.0,7928,920,5170,2534,381,3500,480,2050,6525,855,16300,870,2663,5550,,8275,510,2230,7200,722.0,1442,1440,1875
2020-04-26,1390,3630,9900.0,1239.0,6681,875,4920,2317,347,3090,406,1900,6325,770,16225,830,2566,4950,,7500,494,2140,6900,751.0,1233,1255,1850
2020-04-19,1340,3800,10200.0,1249.0,6457,1035,5425,2465,378,3230,376,2080,6250,835,17325,850,2761,5200,,6875,520,2190,7700,792.0,984,1195,1980
2020-04-12,1190,4090,10100.0,1180.0,8078,1040,5595,2238,436,3120,394,1995,6375,835,17125,825,2722,4910,,7250,520,2335,7725,755.0,940,1140,1980
2020-04-05,1280,3900,10000.0,1054.0,7679,1100,5495,2287,406,3200,393,2005,6600,800,17150,795,2819,4510,,7100,464,2513,8225,995.0,994,1250,2110
2020-03-29,1310,4080,9975.0,1049.0,7953,990,5510,1972,332,3090,412,1995,6800,760,15500,715,3151,4170,,6800,460,2470,7900,392.0,616,1010,2040
2020-03-22,1115,3780,8975.0,946.0,7030,745,4735,1489,278,2880,320,1820,5750,695,14850,700,2741,3470,,6225,374,2230,6825,287.0,522,980,1800
2020-03-15,1405,4870,10975.0,1098.0,7554,830,5660,1883,389,3390,361,2600,6900,980,15600,715,3629,4870,,7500,478,3175,7975,362.0,651,1040,1970
2020-03-08,1460,5675,10950.0,1263.0,10770,1160,6200,2534,563,3750,486,3200,6950,1345,17300,775,3912,6000,,7450,610,3625,10425,389.0,964,1235,2450
2020-03-01,1515,5525,10275.0,1273.0,10446,1155,6290,2415,533,3490,530,3513,6500,1280,16600,775,4088,5625,,6825,575,3638,11300,399.0,979,1220,2240
2020-02-23,1555,6200,10950.0,1307.0,11568,1310,6615,3017,584,3690,610,3888,7200,1525,18225,800,4400,6375,,7500,700,3950,10575,437.0,1153,1365,2410
2020-02-16,1645,6100,10775.0,1190.0,11343,1320,6680,3086,580,3640,608,3763,7150,1520,18325,810,4439,6200,,7475,675,3913,10050,426.0,1193,1390,2330
2020-02-09,1680,6400,11500.0,1176.0,12316,1305,6760,3263,614,3790,680,3675,7850,1540,18800,800,4439,6800,,7900,730,3863,10425,424.0,1258,1470,2320
2020-02-02,1720,6350,11375.0,1141.0,11917,1225,6480,3115,597,3800,662,3600,7825,1705,19200,800,4351,6750,,7950,720,3775,10050,448.0,1297,1430,2210
2020-01-26,1630,6975,11700.0,1161.0,12939,1380,6810,3263,626,3920,698,3850,8200,1880,20200,855,4624,7975,,8175,785,3963,11700,411.0,1367,1540,2370
2020-01-19,1620,7075,11575.0,1171.0,12814,1480,6875,3451,707,3810,686,3888,8250,2020,21775,850,4517,8225,,8400,840,3863,12775,362.0,1302,1615,2670
2020-01-12,1495,6825,11525.0,1146.0,12166,1550,6725,3460,758,3980,722,3863,8250,2080,22250,850,4302,8200,,8250,885,3863,12675,356.0,1268,1600,2780
2020-01-05,1515,6950,11250.0,1141.0,12291,1465,6800,3451,770,3980,758,3900,8025,2160,21275,865,4312,8100,,8575,850,3863,11725,387.0,1417,1635,2670
2019-12-29,1550,6925,11175.0,1059.0,12191,1580,6695,3480,749,3990,774,3963,7925,2250,21675,825,4322,7775,,8560,835,3875,11225,346.0,1496,1615,2650
2019-12-22,1600,6925,11525.0,1015.0,12341,1540,6660,3520,732,4020,796,3900,7925,2190,21250,820,4254,7825,,8325,830,3850,11350,271.0,1491,1610,2600
2019-12-15,1550,6850,11450.0,1059.0,12266,1590,6360,3441,737,3990,768,3825,7750,2130,21175,855,4176,7875,,8245,850,3688,11050,275.0,1412,1600,2580
2019-12-08,1485,6775,11425.0,1083.0,12391,1425,6395,3125,622,4100,754,3788,8000,2140,21325,870,4068,7950,,8450,810,3588,10100,276.0,1407,1570,2550
2019-12-01,1580,6500,11325.0,1059.0,11418,1230,6280,2958,601,3930,680,3750,7950,1920,20925,850,3990,6800,,8360,750,3488,10225,237.0,1352,1525,2420
2019-11-24,1690,6625,11425.0,1039.0,12216,1320,6305,3253,546,4050,674,3825,7925,1945,22750,875,4107,7250,,8430,810,3538,11525,248.0,1193,1515,2430
2019-11-17,1695,6525,11400.0,1063.0,12715,1340,6275,3312,542,4080,736,3725,7875,2000,22375,880,3990,8000,,8445,825,3475,12375,368.0,1069,1510,2510
2019-11-10,1715,6625,11275.0,1029.0,12789,1415,6280,3510,538,4110,756,3838,7750,2000,23275,885,3893,8200,,8630,835,3550,12900,384.0,974,1585,2580
2019-11-03,1700,6800,11625.0,1146.0,12764,1270,6325,3559,554,4080,780,3838,7750,1850,21500,900,4078,7300,,8740,855,3488,12650,328.0,954,1625,2190
2019-10-27,1810,6800,11425.0,1205.0,12490,1350,6200,3539,588,4280,784,3913,7550,2340,21200,900,4127,7025,,8630,955,3500,13475,328.0,1004,1570,2350
2019-10-20,1880,6700,11275.0,1220.0,12465,1310,6160,3431,550,4190,836,3738,7550,2270,20850,930,4068,7100,,8625,935,3388,12250,328.0,920,1625,2350
2019-10-13,1770,6475,11625.0,1244.0,11792,1295,6125,3776,571,4170,866,3488,7650,2190,20325,905,3824,6100,,8835,1015,3275,12925,328.0,930,1660,2270
2019-10-06,1770,6425,12225.0,1229.0,11493,1265,6045,3579,538,4190,818,3438,7850,2100,20200,910,3854,6100,,9085,960,3200,12025,263.0,989,1650,2200
2019-09-29,1770,6650,11950.0,1229.0,11817,1315,6070,3500,610,4310,738,3713,7825,2150,20475,925,4078,6625,,9400,990,3488,12675,109.0,989,1675,2300
2019-09-22,1735,6575,11950.0,1239.0,12814,1400,5990,3805,626,4290,782,3825,7700,2170,22000,900,4058,6975,,9230,1065,3538,12425,99.0,994,1665,2470
2019-09-15,1790,6750,11600.0,1122.0,12764,1375,6030,3628,635,4160,806,3925,7500,1965,22775,880,4205,7050,,9320,1070,3600,13350,104.0,1034,1680,2560
2019-09-08,1745,6750,11900.0,1190.0,13413,1335,6025,3667,648,4210,828,3800,7975,1945,21575,890,4166,7200,,9410,1075,3525,14425,104.0,1069,1675,2600
2019-09-01,1725,6675,12050.0,1190.0,13213,1125,6100,3480,626,4450,854,3850,7925,1920,20925,890,4166,6850,,9770,1070,3625,13000,104.0,900,1690,2470
2019-08-25,1760,6575,11775.0,1215.0,13039,1085,5995,3253,643,4380,806,3813,7775,1830,20500,870,3980,6950,,9165,1015,3588,12075,104.0,721,1620,2490
2019-08-18,1745,6500,11625.0,1102.0,12864,1030,5960,3500,656,4280,794,3963,7575,1960,20500,910,4107,7525,,8995,1120,3688,12900,67.0,731,1510,2440
2019-08-11,1725,6775,11300.0,1073.0,12764,1095,6065,3204,686,4260,766,3963,7475,1985,23175,920,4224,7075,,8965,1065,3725,15050,24.0,780,1440,2540
2019-08-04,1715,7075,10850.0,976.0,12914,1175,6165,2849,690,4280,812,4050,7075,1980,24575,950,4341,7100,,9000,900,3838,16850,24.0,750,1455,2690
2019-07-28,1800,7075,10575.0,980.0,12366,1230,6195,2879,724,4160,800,4213,6675,1970,26525,930,4332,7550,,8960,890,3875,17000,21.0,734,1450,2750
2019-07-21,1725,7100,10850.0,966.0,12540,1295,6200,3096,698,4270,858,4450,7050,2060,27275,940,4371,8250,,9160,940,3938,17150,21.0,750,1490,2880
2019-07-14,1805,7450,10275.0,909.0,12366,1280,6010,2958,707,4180,860,4600,6775,2060,27850,910,4400,7850,,8955,845,4038,17250,21.0,728,1370,2840
2019-07-07,1825,7150,10100.0,917.0,12565,1415,5970,2839,694,4280,830,4600,7000,2100,28025,910,4293,8400,,8990,810,3913,17800,20.0,676,1440,3050
2019-06-30,1810,7450,10150.0,921.0,11543,1360,5995,3076,686,4140,818,4600,7025,2110,28200,915,4254,9375,,9000,845,4013,17550,21.0,638,1460,2960
2019-06-23,1795,7450,10025.0,837.0,11343,1225,5880,2839,673,4040,848,4425,7075,2050,27450,900,4254,9975,,9060,800,3988,17000,21.0,636,1455,2900
2019-06-16,1800,7425,9975.0,792.0,11418,1235,5800,2829,648,3990,876,4250,7050,1960,26900,890,4127,7300,,8960,790,3913,16800,20.0,680,1495,2830
2019-06-09,1735,7450,9800.0,796.0,11518,1295,5820,2662,656,3900,796,4200,6600,2060,25350,930,4000,7750,,8900,725,3838,17525,19.0,656,1405,3060
2019-06-02,1735,7450,9800.0,796.0,11518,1295,5820,2662,656,3900,796,4200,6600,2060,25350,930,4000,7750,,8900,725,3838,17525,19.0,656,1405,3060
2019-05-26,1645,7175,9700.0,759.0,10770,1260,5610,2652,681,3750,804,4325,6300,1955,25100,910,3756,6175,,8705,730,3850,17100,20.0,722,1345,2880
2019-05-19,1640,6700,9300.0,755.0,10521,1175,5180,2435,626,3510,780,4050,6000,1865,24825,930,3698,5500,,8320,670,3538,16200,20.0,732,1260,2750
2019-05-12,1610,7175,9825.0,780.0,11119,1265,5610,2810,669,3790,830,4300,6650,2020,26250,930,4019,6450,,8840,745,3738,17450,20.0,793,1445,3080
2019-05-05,1615,7425,9625.0,765.0,12216,1335,5675,2898,698,3820,826,4625,6800,2240,26625,970,4273,6675,,8930,790,3825,18225,20.0,809,1495,3790
2019-04-28,1555,7650,9175.0,779.0,13662,1290,5620,3007,749,3910,896,4825,6400,2360,27600,910,4224,6875,,9100,875,3863,20300,20.0,819,1515,4020
2019-04-21,1635,7850,9100.0,761.0,13687,1295,5625,3135,707,3860,950,4925,6275,2360,26075,905,4351,7500,,9880,885,3900,19725,20.0,813,1495,3950
2019-04-14,1775,7475,9050.0,763.0,12964,1300,5510,3303,711,3830,944,4825,6325,2280,25625,920,4205,8025,,9890,880,3663,20425,18.0,807,1495,4030
2019-04-07,1660,7600,9025.0,661.0,13612,1260,5505,3401,728,4050,954,4813,6475,2280,26350,915,4156,8125,,9800,905,3775,20200,19.0,716,1520,4000
2019-03-31,1780,7325,9325.0,661.0,13911,1345,5550,3342,753,3950,944,4700,6375,2350,27050,900,4019,8600,,9845,885,3725,23925,19.0,714,1520,4200
2019-03-24,1840,7250,10325.0,669.0,13637,1425,5490,3490,779,3820,926,4800,7400,2360,28000,875,3961,9800,,9850,960,3725,23325,21.0,684,1515,4100
2019-03-17,1805,7225,10300.0,656.0,13039,1420,5500,3589,758,3740,1090,4525,7175,2460,26000,905,3883,9700,,9980,975,3550,22850,21.0,656,1555,4030
2019-03-10,1760,7150,10250.0,677.0,12440,1390,5440,3598,728,3740,1055,4338,7250,2430,26100,900,3756,10650,,9620,990,3450,22275,21.0,604,1525,4000
2019-03-03,1800,7225,10300.0,689.0,12839,1310,5540,3825,792,3910,1110,4488,7300,2490,26500,825,3776,11175,,9810,1055,3588,21300,21.0,597,1540,4040
2019-02-24,1810,7625,10400.0,697.0,12540,1410,5490,3707,842,3840,1150,4363,7625,2650,27950,835,3805,12175,,9900,1055,3550,23650,21.0,597,1510,4130
2019-02-17,1705,7600,10425.0,683.0,11992,1220,5360,3451,804,3790,1145,4388,7425,2460,25025,860,3678,11500,,9600,950,3588,20800,21.0,557,1575,3980
2019-02-10,1755,8150,10600.0,687.0,12465,1305,5520,3687,808,3850,1070,4488,7700,2500,25725,820,3795,12675,,9965,1025,3788,21875,21.0,497,1595,4300
2019-02-03,1775,8450,10750.0,681.0,12690,1375,5635,3727,851,3870,1085,4625,7775,2510,26100,805,3824,12675,,10000,960,3800,22175,21.0,509,1615,4320
2019-01-27,1775,8425,10750.0,628.0,13163,1395,5500,3589,711,3880,980,4550,7850,2420,26425,805,3688,13100,,9810,930,3688,22125,21.0,485,1615,4370
2019-01-20,1760,8475,10150.0,624.0,12665,1485,5425,3648,707,4020,950,4700,7500,2430,26925,855,3727,12300,,9785,850,3938,23100,22.0,471,1615,4470
2019-01-13,1690,8300,10150.0,642.0,11543,1405,5250,3391,707,3860,900,4463,7475,2300,27800,875,3639,12725,,9690,790,3850,22525,22.0,477,1620,4330
2019-01-06,1600,8350,10600.0,632.0,11468,1390,5205,3086,643,3710,870,4363,7425,2200,29000,920,3571,11225,,9560,760,3725,21575,23.0,481,1570,4380
2018-12-30,1490,8225,10450.0,683.0,11468,1215,5200,3214,580,3750,858,4400,7450,2120,27350,935,3571,11550,,9080,765,3688,20250,23.0,475,1520,4300
2018-12-23,1475,8425,10525.0,595.0,11468,1250,5170,3105,580,3760,866,4338,7500,2160,27950,945,3532,11600,,9320,770,3613,19900,22.0,465,1545,4230
2018-12-16,1495,8450,10100.0,574.0,11393,1285,5165,3036,610,3730,878,4300,7075,2100,29425,870,3590,11875,,8900,755,3788,20625,22.0,428,1490,4460
2018-12-09,1555,8225,9700.0,568.0,11842,1300,5190,3036,635,3670,792,4288,6700,2130,29375,850,3532,11500,,8800,725,3750,20425,24.0,412,1635,3990
2018-12-02,1615,8550,9850.0,554.0,11992,1285,5210,2987,593,3680,780,4250,6600,1955,27500,835,3532,10500,,8450,615,3700,21250,21.0,420,1525,4020
2018-11-25,1440,8400,8925.0,554.0,11493,1295,5020,2849,593,3990,796,4213,6250,1975,31850,800,3395,13300,,8430,625,3650,20025,24.0,404,1565,4310
2018-11-18,1485,8550,8775.0,548.0,10969,1545,4965,3234,639,4050,752,4150,5950,2070,34800,780,3405,11900,,8295,680,3725,22775,24.0,384,1535,4740
2018-11-11,1425,8175,8575.0,550.0,9698,1580,4800,3253,681,3920,686,4000,5775,2110,34900,770,3259,11275,,8065,700,3613,23075,19.0,365,1420,4330
2018-11-04,1395,8175,8925.0,560.0,9698,1585,4800,3194,673,3940,704,3888,6025,2010,32875,730,3200,11700,,8545,695,3713,24500,21.0,368,1360,4200
2018-10-28,1375,7425,8775.0,560.0,8900,1725,4720,2948,707,3630,728,3550,5700,2160,33400,770,2917,11400,,8835,725,3225,26950,19.0,356,1335,4250
2018-10-21,1360,7300,8775.0,558.0,8900,1700,4675,3145,741,3730,728,3588,6000,2270,32400,785,2946,13475,,8970,765,3225,24950,20.0,362,1380,4540
2018-10-14,1390,6850,8725.0,564.0,8875,1710,4650,3312,758,3680,748,3463,5575,2120,31675,820,2878,14300,,8860,795,3200,24950,20.0,358,1270,4560
2018-10-07,1330,6950,8800.0,544.0,8900,1810,4610,3490,830,3530,760,3438,5775,2200,32600,830,2907,14400,,8535,800,3138,25675,21.0,323,1265,4740
2018-09-30,1440,7350,8825.0,527.0,9897,1835,4830,3658,847,3640,734,3700,5900,2250,33000,930,3073,17350,,9405,845,3363,25850,20.0,366,1380,4320
2018-09-23,1560,7250,8950.0,535.0,9274,1880,4740,3608,694,3600,718,3825,6075,2030,33300,845,3044,18750,,9415,820,3425,26400,19.0,368,1290,4170
2018-09-16,1360,7225,8925.0,501.0,8975,1740,4795,3342,703,3590,720,3763,6175,2030,32875,815,2995,17900,,9420,800,3375,27100,23.0,343,1235,3970
2018-09-09,1260,7175,8850.0,503.0,8950,1730,4970,3174,652,3390,662,3675,6100,2030,33125,835,2956,17975,,8895,795,3313,25375,23.0,327,1235,3770
2018-09-02,1360,7250,8675.0,509.0,9424,1865,4960,3746,737,3490,722,3900,6375,2140,34400,850,3102,19100,,8770,870,3450,28300,21.0,341,1345,4050
2018-08-26,1375,7375,8875.0,542.0,8726,1910,5015,3845,758,3290,770,3713,6675,1995,34200,800,3190,19000,,8600,875,3388,25900,21.0,359,1300,4070
2018-08-19,1300,7100,8650.0,576.0,8127,1780,4675,3736,732,3350,802,3538,6100,1795,33400,800,2976,17600,,8505,830,3350,26175,20.0,354,1210,4120
2018-08-12,1470,7400,8975.0,554.0,8377,1910,4775,4229,851,3500,854,3988,6400,1940,36275,810,3307,19300,,8710,895,3675,27800,21.0,396,1290,4890
2018-08-05,1370,7125,8775.0,545.0,8900,1940,4690,4091,847,3460,846,3950,6375,1760,34900,815,3249,18700,,8990,900,3600,29000,21.0,359,1300,4500
2018-07-29,1330,6975,8600.0,561.0,7704,1965,4645,4466,847,3940,884,3725,6275,1695,35400,805,3015,19750,,8865,900,3288,29000,21.0,364,1290,4600
2018-07-22,1335,6675,8600.0,578.0,7205,1825,4620,4210,792,3990,914,3625,6275,1695,32300,850,2907,19750,,8840,870,3175,24200,20.0,355,1290,4260
2018-07-15,1325,6800,8875.0,590.0,7230,1860,4605,4436,808,4020,908,3625,6525,1685,33050,735,2898,19900,,9380,910,3300,24500,19.0,376,1310,4170
2018-07-08,1235,6300,8700.0,545.0,6931,1785,4185,4003,745,3860,840,3475,6200,1565,33575,720,2771,16800,,9150,780,3150,24575,21.0,343,1250,3950
2018-07-01,1270,6600,8850.0,655.0,7105,1790,4295,3983,817,3750,860,3525,6650,1995,31600,750,2771,18600,,9220,890,3425,22375,20.0,394,1220,3970
2018-06-24,1280,6600,8400.0,556.0,7604,1930,4385,4032,838,3580,822,3700,6550,2030,32975,720,2907,19250,,8840,910,3350,23675,19.0,430,1310,4150
2018-06-17,1360,6900,8850.0,507.0,8252,1935,4450,4160,957,3610,916,4025,6950,2080,34800,755,3063,19100,,9080,905,3475,27000,20.0,435,1360,4070
2018-06-10,1360,6900,8850.0,507.0,8252,1935,4450,4160,957,3610,916,4025,6950,2080,34800,755,3063,19100,,9080,905,3475,27000,20.0,435,1360,4070
2018-06-03,1250,6900,8700.0,492.0,8377,1885,4540,3805,948,3520,984,4238,7075,2070,35050,675,3005,18700,,9120,865,3525,25825,21.0,422,1370,3800
2018-05-27,1235,7250,8300.0,477.0,8751,1830,4510,3786,990,3560,914,3988,7025,2080,37500,625,3044,16000,,9360,870,3500,25150,21.0,441,1370,3750
2018-05-20,1185,6525,8000.0,445.0,8676,1905,4340,3638,1050,3490,904,3788,6375,1980,35825,620,2868,14450,,9235,850,3400,26000,22.0,439,1270,3690
2018-05-13,1245,7050,8375.0,451.0,9174,1715,4550,3174,1046,3630,960,4138,6500,1965,35375,590,3083,13700,,9800,810,3600,25625,21.0,473,1450,3450
2018-05-06,1300,7250,8200.0,442.0,8975,1640,4405,3046,919,3730,902,3738,6350,1930,33625,600,2956,13775,,9070,830,3313,22475,21.0,451,1390,3350
2018-04-29,1250,7225,8175.0,440.0,9424,1830,4300,3184,1012,3730,972,4075,6775,2070,34350,585,3073,12600,,9230,830,3463,23600,21.0,481,1505,3140
2018-04-22,1320,7575,8400.0,477.0,10097,2230,4640,3569,1096,3740,1155,4363,7100,2320,36850,580,3571,13125,,10225,905,4000,27775,21.0,513,1595,3360
2018-04-15,1390,7525,8350.0,468.0,10097,2130,4580,3184,1041,3660,1120,4413,7075,2310,35100,560,3463,12275,,10040,880,4013,27075,22.0,505,1565,3430
2018-04-08,1305,7525,8175.0,468.0,10521,2030,4545,2908,999,3650,1100,4150,7100,2360,32200,570,3395,10850,,10155,805,3775,27400,21.0,457,1545,3180
2018-04-01,1330,7300,8275.0,515.0,10321,2130,4660,2751,1024,3600,1135,4338,7200,2300,32000,610,3512,11000,,9905,775,3838,28500,24.0,459,1500,2940
2018-03-25,1330,7275,8700.0,505.0,9623,1995,4760,2839,1084,3660,1185,4363,7150,2310,32000,600,3512,11225,,10195,790,4025,28900,24.0,481,1430,2890
2018-03-18,1350,7450,8750.0,447.0,10496,2040,4670,3017,1041,3820,1155,4763,7150,2260,32575,585,3590,11225,,9940,845,3963,27825,25.0,493,1470,2810
2018-03-11,1300,7775,9000.0,449.0,10521,2170,4660,2948,1151,4150,1155,4700,7450,2390,36225,595,3600,12275,,10110,850,4050,27125,25.0,503,1545,2890
2018-03-04,1350,8150,9100.0,449.0,10945,2310,4575,3105,1236,4070,1195,4763,7700,2600,35700,580,3698,11950,,10780,920,4238,28675,25.0,519,1620,3070
2018-02-25,1365,8200,8925.0,455.0,11194,2480,4850,3303,1249,4030,1185,4925,7625,2610,37000,600,3698,10000,,10890,895,4275,31700,25.0,521,1600,3400
2018-02-18,1295,8275,8975.0,444.0,11019,2470,4690,3648,1029,4010,1215,4813,7800,2530,37750,615,3746,8625,,10910,910,4150,30075,25.0,495,1600,3240
2018-02-11,1345,8200,8925.0,453.0,10172,2320,4715,3451,948,3950,1135,4713,7750,2340,38600,590,3619,7950,,11080,830,4113,28300,26.0,465,1645,3050
2018-02-04,1350,8700,8800.0,440.0,10670,2470,4795,3746,1101,4000,1165,4650,7775,2460,39200,600,3649,9050,,11005,905,4063,29600,25.0,517,1660,3300
2018-01-28,1280,8625,8825.0,440.0,11568,2440,4540,3648,1122,4150,1255,4800,8075,2630,39650,610,3756,8600,,10910,855,4100,30050,21.0,475,1695,3330
2018-01-21,1230,8350,8700.0,442.0,10920,2180,4490,3332,1084,4160,1260,4713,7925,2350,37400,605,3532,7125,,10890,760,4038,26550,21.0,435,1705,3120
2018-01-14,1290,8175,8850.0,430.0,10546,2230,4485,3135,927,4130,1255,4638,7850,1780,37025,570,3454,5825,,10850,665,4050,23750,22.0,420,1695,2890
2018-01-07,1250,8300,9275.0,401.0,10870,1990,4450,3125,804,4280,1240,4650,7675,1790,35425,595,3502,5525,,10800,655,3913,21075,20.0,418,1760,2610
2017-12-31,1155,8300,8900.0,401.0,9873,1860,4380,2849,753,4440,1270,4950,7625,1750,35400,610,3551,5400,,11180,625,4000,20700,21.0,449,1690,2460
2017-12-24,1140,8200,9000.0,421.0,9798,1890,4300,2760,758,4300,1270,4925,7625,1740,34250,620,3376,5400,,10825,630,3838,20400,21.0,451,1650,2520
2017-12-17,1190,8300,8725.0,429.0,9823,1805,4220,2810,732,4230,1260,4688,7450,1800,33050,750,3307,5200,,10425,630,3713,20450,21.0,475,1665,2280
2017-12-10,1205,8250,8775.0,430.0,9125,1725,4225,2652,720,4140,1245,4425,7375,1675,32900,660,3288,4930,,10180,625,3738,21100,22.0,475,1675,2210
2017-12-03,1190,7975,8450.0,440.0,9374,1700,4070,2721,745,4150,1270,4050,7325,1700,33500,690,3132,5225,,9860,665,3700,21150,21.0,451,1600,2250
2017-11-26,1125,8550,8550.0,430.0,10122,1710,4200,2898,704,4320,1340,4113,7700,1785,31800,700,3268,5675,,9960,660,3725,19650,21.0,441,1655,2160
