Start Date,6/29/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDX30 Index,,,,,LQ45 Index,,,,,KOA Comdty,,,,,XWA Comdty,,,,,LMNIDY Comdty,,,,,COA Comdty,,,,,LOSNDY Comdty,,,,,HGA Comdty,,,,,USDIDR Curncy,,,,,XAUIDR Curncy,,,,,RR1 Comdty,,,,
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW
7/4/2014,418.089,424.62,3127585700,426.218,417.811,816.817,829.282,6025963100,832.325,816.114,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,70.05,222,#N/A N/A,#N/A N/A,18714,19323.5,38686,19800,18709,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21855,22780,#N/A N/A,22850,21855,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12015,11880,#N/A N/A,12016,11764,15774751.88,15677501.87,#N/A N/A,15865161.89,155930.9248,14.6,14.55,223,15.05,14.11
7/11/2014,426.874,441.695,6208540300,458.356,426.296,833.447,861.215,10157564000,893.171,832.639,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.15,515,#N/A N/A,#N/A N/A,19180,19308,45793,19545,18950,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22710,22010,#N/A N/A,22710,22010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11829,11590,#N/A N/A,11870,11513,15675241.87,15535851.85,#N/A N/A,15683431.87,153251.2214,14.61,14.5,106,14.95,14.61
7/18/2014,442.813,448.725,4722500100,453.208,438.014,863.507,874.116,7551626000,883.259,854.142,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,67.4,460,#N/A N/A,#N/A N/A,19225,18587.5,66500,19260,18500,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22170,22080,#N/A N/A,22170,22075,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11610,11615,#N/A N/A,11833,11605,15532951.85,15231711.82,#N/A N/A,15554991.85,151772.4243,14.9,13.125,1160,14.9,12.785
7/25/2014,451.437,445.065,5038633700,455.912,440.717,879.468,868.297,7977015000,887.906,859.038,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.05,180,#N/A N/A,#N/A N/A,18730,19143,60306,19160,18721.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22155,22405,#N/A N/A,22405,22105,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11580,11578,#N/A N/A,11638,11483,15228101.82,15137001.8,#N/A N/A,15264231.82,149708.721,13.13,12.94,931,13.255,12.935
8/1/2014,451.437,445.065,5038633700,455.912,440.717,879.468,868.297,7977015000,887.906,859.038,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,68.95,362,#N/A N/A,#N/A N/A,18800,18334,51663,18801,18276.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22550,22480,#N/A N/A,22950,22480,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11575,11803,#N/A N/A,11850,11575,15165371.81,15293691.82,#N/A N/A,15320711.83,14824991.77,12.945,12.79,2313,13.2,12.785
8/8/2014,442.736,440.242,4389465300,449.719,439.376,865.145,861.905,5899266200,879.467,860.107,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,70.55,65,#N/A N/A,#N/A N/A,18410,18482,44920,18861,18270,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22375,22300,#N/A N/A,22380,22300,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11760,11775,#N/A N/A,11841,11684,15298131.82,15439771.84,#N/A N/A,15614411.86,151117.018,12.795,12.66,2880,12.87,12.61
8/15/2014,445.25,448.944,3460339600,453.145,444.037,871.181,879.898,4688254800,887.498,869.27,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,70.25,25,#N/A N/A,#N/A N/A,18573,18584,56988,19000,18490,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22320,22400,#N/A N/A,22480,22320,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11740,11675,#N/A N/A,11746,11661,15418641.84,15231061.82,#N/A N/A,15448941.84,152751.612,12.645,12.905,2802,12.925,12.575
8/22/2014,449.733,453.287,3226645300,456.593,448.42,881.26,886.828,4755704600,893.37,879.44,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,18372,18668,67736,18780,18372,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22425,22425,#N/A N/A,22425,22275,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11678,11679,#N/A N/A,11743,11643,15229781.82,14953901.78,#N/A N/A,15231451.82,149630.8147,12.9,12.825,3417,13.2,12.73
8/29/2014,452.675,442.782,3327249800,453.625,442.782,885.719,869.196,5046609300,886.898,869.196,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,18810,18717,34491,18811,18451.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22090,21850,#N/A N/A,22090,21800,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11703,11694,#N/A N/A,11734,11665,14940641.78,15074401.8,#N/A N/A,15165111.81,149638.9241,12.825,12.585,1864,13.1,12.55
9/5/2014,446.434,451.986,2731996000,453.513,446.087,874.98,886.578,4075623100,891.615,874.445,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,18675,19493.5,35578,19390,18472,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21700,21500,#N/A N/A,21700,21395,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11700,11755,#N/A N/A,11800,11695,15070601.8,14916551.78,#N/A N/A,15117631.8,148653.7208,12.58,12.375,166,12.59,12.35
9/12/2014,454.96,443.689,3371740300,456.228,442.903,892.567,870.119,4616567200,895.919,867.728,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,19700,18311,33409,19824,18310,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21300,21180,#N/A N/A,21300,21000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11730,11818,#N/A N/A,11840,11717,14910381.78,14532641.73,#N/A N/A,14936201.78,146124.2205,12.35,12.55,338,12.49,12.2
9/19/2014,440.578,455.4,3348555900,458.139,440.578,863.744,890.65,4806177000,895.992,863.703,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,18250,17693.5,48284,18255,17751.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21150,21200,#N/A N/A,21205,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11853,11968,#N/A N/A,12041,11850,14520831.73,14548891.73,#N/A N/A,14856521.77,146373.9237,12.78,12.7,1287,12.82,12.48
9/26/2014,454.54,444.817,2758890400,455.957,442.392,888.581,870.523,3826412200,891.701,864.842,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,17075,16914,38472,17300,17071.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21200,20450,#N/A N/A,21300,20450,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11965,12023,#N/A N/A,12043,11940,14545961.73,14760071.76,#N/A N/A,14789531.76,145047.7204,12.695,12.815,1505,12.91,12.54
10/3/2014,443.955,426.256,3904321900,449.361,424.117,868.083,833.915,5252735400,877.718,830.062,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,16510,16478.5,25832,16550,15850,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20535,20395,#N/A N/A,20535,20200,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12023,12175,#N/A N/A,12256,12023,14672951.75,14513691.73,#N/A N/A,14940771.78,146324.4237,12.795,12.585,4401,12.89,12.51
10/10/2014,429.843,428.779,3339495000,438.386,424.743,840.397,838.676,4328308800,856.549,830.783,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,16475,16301,28406,16877,16300,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20465,20100,#N/A N/A,20465,20100,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12211,12223,#N/A N/A,12260,12165,14504691.73,14946101.78,#N/A N/A,15015341.79,145860.1111,12.565,12.585,1744,12.79,12.535
10/17/2014,425.468,437.885,4202754100,440.94,422.464,832.264,854.194,5450356200,859.869,825.313,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,16475,15630,74695,16475,15310,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20170,19305,#N/A N/A,20170,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12220,12108,#N/A N/A,12255,12108,14933991.78,14953921.78,#N/A N/A,15319121.83,149707.4241,12.555,12.545,4738,12.72,12.5
10/24/2014,443.09,441.991,3912087300,445.884,435.718,864.125,862.55,4953718300,869.689,849.964,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,15650,14949,48949,15650,14925,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19400,19415,#N/A N/A,19600,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12068,12066,#N/A N/A,12080,11970,14994821.79,14804721.76,#N/A N/A,15054021.79,148695.424,12.585,12.405,5173,12.65,12.31
10/31/2014,443.644,445.177,3219329900,445.177,432.939,865.853,868.051,4086659300,868.051,845.271,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,14700,15720,45088,15850,14634,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19545,20125,#N/A N/A,20150,19545,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12040,12085,#N/A N/A,12196,12023,14851981.77,14158041.69,#N/A N/A,14996021.79,142185.5169,12.38,12.005,3884,12.455,11.135
11/7/2014,446.992,435.121,2535262300,447.104,434.38,871.306,847.286,3415010100,871.522,846.096,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,15600,15367,47903,15685,14975,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19850,20025,#N/A N/A,20025,19540,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12155,12170,#N/A N/A,12196,12080,14169321.69,14291701.7,#N/A N/A,14299041.7,138996.9228,12.05,11.87,585,12.22,11.82
11/14/2014,436.351,445.369,2471097400,446.984,433.11,849.769,865.517,3112807000,868.856,843.538,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,15075,15530,33816,15545.5,15066.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20050,19825,#N/A N/A,20150,19825,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12138,12210,#N/A N/A,12238,12130,14306761.71,14460541.72,#N/A N/A,14524721.73,140333.1105,11.8,11.73,38,11.8,11.61
11/21/2014,443.692,451.31,3957064700,454.782,443.599,862.452,878.558,4968568300,884.085,862.307,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,15617,16573,71882,16451,15596.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19610,20250,#N/A N/A,20250,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12195,12150,#N/A N/A,12211,12078,14464561.72,14556171.74,#N/A N/A,14641861.75,144499.0172,11.935,12.595,2100,12.6,11.875
11/28/2014,454.048,455.028,3568004400,456.514,451.628,884.066,886.334,4689824400,889.159,879.111,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,16530,16223,49630,16535,16075,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20480,20175,#N/A N/A,20480,20175,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12149,12203,#N/A N/A,12209,12108,14558971.74,14244681.7,#N/A N/A,14641411.75,144590.611,12.595,12.335,1429,12.615,12.265
12/5/2014,455.212,458.767,3797822800,460.911,453.639,886.458,893.777,4876585400,898.349,883.645,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,16175,16732.5,46491,17056,16170.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20135,20260,#N/A N/A,20455,20135,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12235,12299,#N/A N/A,12323,12235,14244681.7,14766181.76,#N/A N/A,14992251.79,142701.6108,12.295,12.065,2410,12.415,12
12/12/2014,460.139,455.301,3205461900,461.125,451.145,896.274,888.02,4094967700,898.315,879.734,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,16555,16608,40650,16575,16146.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20305,20425,#N/A N/A,20470,20305,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12336,12458,#N/A N/A,12460,12320,14667931.75,15415731.84,#N/A N/A,15460141.84,147601.6113,12.055,12.35,2935,12.55,12
12/19/2014,450.326,454.269,4878535100,457.885,440.951,878.888,886.072,6362673600,892.345,859.078,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,16739,15533,67447,16740,15324,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,19400,#N/A N/A,20380,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12485,12490,#N/A N/A,12940,12485,15244581.82,14837471.77,#N/A N/A,15797431.88,149561.5178,12.345,12.31,4576,12.49,12.045
12/26/2014,456.463,457.368,1735102900,458.671,453.287,890.215,890.861,2204401800,893.07,883.131,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,15600,15260,21220,15629,15250,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19100,18795,#N/A N/A,19100,18530,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12456,12468,#N/A N/A,12495,12431,14972321.78,14869451.77,#N/A N/A,14972321.78,147141.4238,12.37,12.165,1951,12.38,12.1
1/2/2015,457.537,463.554,2014483900,464.083,457.125,891.3,903.13,2400135200,903.562,890.575,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,15110,14756,33424,15110,14850,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19145,19400,#N/A N/A,19500,19000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12425,12543,#N/A N/A,12544,12378,14854321.77,14893321.78,#N/A N/A,15007061.79,148026.2208,12.17,11.29,1961,12.17,11.25
1/9/2015,461.975,461.871,4003530600,464.631,456.294,899.819,898.828,5022047700,904.501,888.203,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,14582.5,15235.5,43261,15455,14575,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19650,19650,#N/A N/A,19750,19560,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12545,12655,#N/A N/A,12759,12515,14903811.78,15389371.83,#N/A N/A,15558911.85,150702.9242,11.295,11.325,199,11.42,11.28
1/16/2015,459.935,455.769,3241193300,462.838,455.242,895.307,886.343,5144076900,899.315,885.439,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,14950,14722,46359,15028,14244,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19525,19325,#N/A N/A,19555,19325,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12603,12588,#N/A N/A,12636,12558,15391221.83,16138171.92,#N/A N/A,16157621.93,154073.1121,11.31,11.325,498,11.4,11
1/23/2015,456.246,476.286,4649885600,476.286,453.385,887.299,926.524,7424942000,926.524,881.672,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,14425,14293,78179,14800,14385.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,19280,19510,#N/A N/A,19580,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12613,12473,#N/A N/A,12670,12414,16129321.92,16130321.92,#N/A N/A,16313121.94,160594.9254,11.345,11.01,1492,11.395,10.96
1/30/2015,473.581,469.388,3968505000,473.978,462.885,921.148,912.054,6056852500,922.828,901.401,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,14372.5,15109,48480,14950,14371.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,19250,#N/A N/A,19575,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12490,12670,#N/A N/A,12673,12468,16132201.92,16361391.95,#N/A N/A,16380381.95,159973.7222,10.995,10.57,3783,11.37,10.525
2/6/2015,467.759,475.423,4443808500,476.363,465.989,908.958,923.886,7067297300,925.779,905.168,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,15100,15179,40244,15375,14830,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18975,18875,#N/A N/A,18975,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12713,12617,#N/A N/A,12720,12591,16353251.95,15609721.86,#N/A N/A,16353251.95,159744.1128,10.57,10.74,3111,10.75,10.01
2/13/2015,475.176,483.101,3967146500,483.301,473.308,923.695,937.822,5357017100,937.822,919.18,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,15050,14589,37588,15050,14600,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18515,18250,#N/A N/A,18515,17830,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12695,12789,#N/A N/A,12840,12639,15610361.86,15656581.87,#N/A N/A,15891881.89,156810.0187,10.74,10.525,3745,10.75,10.15
2/20/2015,483.619,485.467,3405316000,489.335,477.718,938.784,941.111,5223547100,948.509,926.804,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,14440,13898.5,65865,14441,13905,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18020,18100,#N/A N/A,18185,18005,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12715,12811,#N/A N/A,12883,12715,15638051.86,15433111.84,#N/A N/A,15772561.88,154691.7216,10.515,10.79,4455,10.925,10.35
2/27/2015,486.544,487.841,3600799600,491.314,484.165,943.598,946.876,5137557400,952.466,939.147,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,13915,14037,57621,14408,13911.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17955,17920,#N/A N/A,18100,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12825,12928,#N/A N/A,12948,12805,15444671.84,15771881.88,#N/A N/A,15854821.89,153128.4245,10.79,10.47,3081,10.79,10.265
3/6/2015,488.105,497.053,4099189700,497.053,487.811,947.518,960.781,5788546000,960.781,945.697,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,13900,14311,42883,14174,13589,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17650,18075,#N/A N/A,18075,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12978,12974,#N/A N/A,13030,12925,15776771.88,15290911.82,#N/A N/A,15894061.89,155131.5185,10.56,10.235,492,10.63,10.19
3/13/2015,492.937,487.801,3928413800,493.17,485.561,952.962,942.345,6067072000,953.167,937.898,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,14405,14079.5,58477,14414,13821.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,18030,17405,#N/A N/A,18030,17405,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13011,13198,#N/A N/A,13246,13006,15148051.81,15372921.83,#N/A N/A,15495401.85,151633.1118,10.215,10.435,240,10.55,10.215
3/20/2015,486.366,490.289,4013100400,493.184,486.348,939.565,946.858,5879457100,951.634,939.491,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,13800,14210,103749,13954,13549,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,16930,#N/A N/A,17360,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13213,13118,#N/A N/A,13248,12985,15379561.83,15405401.84,#N/A N/A,15445371.84,150973.3149,10.58,10.92,1906,11.055,10.4
3/27/2015,491.809,485.598,3398096000,493.192,480.035,950.097,937.507,5080336200,952.409,927.162,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,14190,13233,57998,14199,13255,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17500,17300,#N/A N/A,17525,17265,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13100,13066,#N/A N/A,13100,12901,15414921.84,15667661.87,#N/A N/A,15856131.89,153734.1121,10.91,10.99,1930,11.31,10.91
4/3/2015,487.932,490.363,3043355000,499.168,487.527,942.188,949.22,4475662800,964.149,941.451,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,13040,12977,44465,13045,12324,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,17100,16570,#N/A N/A,17100,16400,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13053,13003,#N/A N/A,13095,12980,15652681.87,15578371.86,#N/A N/A,15730121.88,154266.7215,10.97,10.865,2434,11.19,10.765
4/10/2015,491.765,493.289,2600759900,497.611,490.962,952.09,953.21,3796997600,962.931,948.985,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,12565,12581.5,39505,12760,12523.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16775,16505,#N/A N/A,16775,5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12995,12918,#N/A N/A,13029,12895,15673401.87,15599371.86,#N/A N/A,15881481.89,154322.7215,10.85,10.26,4776,10.9,10.255
